vorname,anzahl,geschlecht
Raúl,2,m
Ramona,2,w
Rebin,2,m
Rania,2,w
Reiner,2,m
Rayhana,2,w
Resul,2,m
Reni,2,w
Ron,2,m
Renée,2,w
Roni,2,m
Reyhan,2,w
Roy,2,m
Reyyan,2,w
Rufus,2,m
Riona,2,w
Ruslan,2,m
Rita,2,w
Ruven,2,m
Rokia,2,w
Sami,2,m
Romi,2,w
Samuele,2,m
Rona,2,w
Sandro,2,m
Rosanna,2,w
Santino,2,m
Rosemarie,2,w
Sefa,2,m
Roswitha,2,w
Selman,2,m
Roya,2,w
Semi,2,m
Rubi,2,w
Serdar,2,m
Rumeysa,2,w
Serhat,2,m
Rümeysa,2,w
Serkan,2,m
Sabina,2,w
Simeon,2,m
Safia,2,w
Sohaib,2,m
Safiya,2,w
Stephan,2,m
Sahra,2,w
Tahir,2,m
Salomé,2,w
Tamino,2,m
Sarina,2,w
Tammo,2,m
Sarya,2,w
Tan,2,m
Saya,2,w
Tay,2,m
Selenia,2,w
Taylor,2,m
Selvi,2,w
Thien,2,m
Shari,2,w
Tibor,2,m
Shekinah,2,w
Tijan,2,m
Signe,2,w
Tino,2,m
Sila,2,w
Tolga,2,m
Silvia,2,w
Tommy,2,m
Sima,2,w
Tony,2,m
Simela,2,w
Torsten,2,m
Sissy,2,w
Tuna,2,m
Sofía,2,w
Tunahan,2,m
Stefania,2,w
Turgut,2,m
Success,2,w
Ubeydullah,2,m
Sudenaz,2,w
Udo,2,m
Sueda,2,w
Uwe,2,m
Suri,2,w
Veysel,2,m
Susanna,2,w
Vince,2,m
Sydney,2,w
Vinh,2,m
Sylvie,2,w
Vitus,2,m
Talia,2,w
Waldemar,2,m
Talya,2,w
Wei,2,m
Tasnim,2,w
Wil,2,m
Thilda,2,w
Wisdom,2,m
Thérèse,2,w
Yahya,2,m
Tia,2,w
Yakup,2,m
Verena,2,w
Yanis,2,m
Veronica,2,w
Yann,2,m
Veronika,2,w
Yasir,2,m
Vicky,2,w
Youness,2,m
Viktorija,2,w
Yousef,2,m
Weronika,2,w
Yuma,2,m
Witha,2,w
Yuvraj,2,m
Yael,2,w
Zeki,2,m
Yasmina,2,w
Ziad,2,m
Zahra,2,w
Zion,2,m
Zeliha,2,w
Ziyad,2,m
Zerya,2,w
Çağatay,2,m
Zeyneb,2,w
Étienne,2,m
Zoha,2,w
Şahin,2,m
Zoi,2,w
Şükrü,2,m
Zuzanna,2,w
Özlem,2,w
Şeyma,2,w
Aalan,1,m
Aarav,1,m
Aaron-James,1,m
Aada,1,w
Aaronsson,1,m
Aaliya,1,w
Abdallah,1,m
Aaliyah-Maria,1,w
Abde,1,m
Aaron,1,w
Abdel,1,m
Aava,1,w
Abdel-Kader,1,m
Abby,1,w
Abdessamad,1,m
Abbygail,1,w
Abdoalrahman,1,m
Abeeha,1,w
Abdu,1,m
Abena,1,w
Abdu-Rahman,1,m
Abibata,1,w
Abdulkerim,1,m
Acelya,1,w
Abdussettar,1,m
Acibe,1,w
Abdülhakim,1,m
Acosta,1,w
Abedkhan,1,m
Adela,1,w
Abel,1,m
Adrienne,1,w
Abidin,1,m
Adrina,1,w
Abiola,1,m
Aerin,1,w
Aboubacar-Sidiki,1,m
Afomia,1,w
Abubakir,1,m
Afra,1,w
Achim,1,m
Agapi,1,w
Adar,1,m
Agata,1,w
Adetokunbo,1,m
Ageliki,1,w
Adib,1,m
Agnes,1,w
Adilchan,1,m
Agnetha,1,w
Admin,1,m
Agrippina,1,w
Adrian-Luis,1,m
Ahava,1,w
Adrianovič,1,m
Ai,1,w
Adrik,1,m
Aileen-Sophie,1,w
Adrián,1,m
Aimee,1,w
Afam,1,m
Aina,1,w
Afanwi,1,m
Ainhoa,1,w
Afrem,1,m
Ainoa,1,w
Agamjot,1,m
Ainoah,1,w
Agbonifo,1,m
Aissa,1,w
Agit,1,m
Aişa,1,w
Agon,1,m
Ajla,1,w
Agron,1,m
Akari,1,w
Ai,1,m
Akasya,1,w
Aiden,1,m
Akinwande,1,w
Aiman,1,m
Akshara,1,w
Ajan,1,m
Alaa,1,w
Ajani,1,m
Alaina,1,w
Ajibade,1,m
Alanda,1,w
Akemi,1,m
Albenien,1,w
Akil,1,m
Alberina,1,w
Akin,1,m
Alejandra,1,w
Akın,1,m
Aleksandrovna,1,w
Aktan,1,m
Alekseevna,1,w
Akwadan,1,m
Aleksija,1,w
Al,1,m
Alessa,1,w
Al'bara,1,m
Ali,1,w
Aladin,1,m
Alicja,1,w
Alamu,1,m
Alin,1,w
Aland,1,m
Aline,1,w
Albarae,1,m
Alisia,1,w
Albatrit,1,m
Alissen,1,w
Aldo,1,m
Alix,1,w
Alek,1,m
Alla,1,w
Aleksandar,1,m
Alliyah,1,w
Aleksandar-Vuk,1,m
Allya,1,w
Aleksandr,1,m
Almedina,1,w
Alekseevič,1,m
Almila,1,w
Alen-Lian,1,m
Almire,1,w
Alend,1,m
Almudena,1,w
Alex,1,m
Alpha,1,w
Alex-Fabrice,1,m
Alvi,1,w
Alexandar,1,m
Aly,1,w
Alexandrovič,1,m
Alya,1,w
Alexandru,1,m
Alyssa-Fee,1,w
Alexej,1,m
Amal,1,w
Alexis,1,m
Amalye,1,w
Alfio-Adriano,1,m
Amara,1,w
Alfonso,1,m
Amber,1,w
Ali-Kayran,1,m
Amel,1,w
Alian,1,m
Amela,1,w
Alican,1,m
Amelly,1,w
Alichan,1,m
Amelá,1,w
Alim,1,m
Amenze,1,w
Alina,1,m
Ameya,1,w
Aliy,1,m
Amrei,1,w
Aliyar,1,m
Amélia,1,w
Alji,1,m
Anabel,1,w
Aljoscha,1,m
Anahita,1,w
Allah,1,m
Anar,1,w
Allan,1,m
Anastasija,1,w
Allen,1,m
Anastazija,1,w
Alonso,1,m
Ancuta,1,w
Alonzo,1,m
Andelina,1,w
Alpacino,1,m
Andrada,1,w
Alparslan,1,m
Andreea,1,w
Alphadio,1,m
Anduena,1,w
Alptuğ,1,m
Anesa,1,w
Altan,1,m
Anett,1,w
Alvaro,1,m
Angele,1,w
Alvis,1,m
Angelica,1,w
Alwin,1,m
Angelie,1,w
Amadeo,1,m
Angelie-Sophie,1,w
Amar,1,m
Angelin,1,w
Amara,1,m
Angelo,1,w
Amaru,1,m
Angelova,1,w
Ameen,1,m
Angely,1,w
Amenallah,1,m
Anh,1,w
Amenophis,1,m
Ani,1,w
Ameyal,1,m
Aniessa,1,w
Amid,1,m
Anike,1,w
Amon,1,m
Aniko,1,w
An,1,m
Anila,1,w
Anael,1,m
Anisa,1,w
Anchev,1,m
Anissa,1,w
Andi,1,m
Anjela,1,w
Andreevič,1,m
Anju,1,w
Andrei,1,m
Anke,1,w
Andres,1,m
Ankomah,1,w
Andrey,1,m
Ann-Kathrin,1,w
Andrian,1,m
Anna-Filena,1,w
Andries,1,m
Anna-Grazia,1,w
Angel,1,m
Anna-Lilla,1,w
Anifowose,1,m
Anna-Lina,1,w
Anis,1,m
Anna-Regina,1,w
Ansgar,1,m
Anna-Sophie,1,w
Antoine,1,m
Annafrida,1,w
Anton-Gabor,1,m
Annalisa,1,w
Antonijo,1,m
Anneli,1,w
Antonino,1,m
Annelie,1,w
Anwar,1,m
Annie,1,w
Araf,1,m
Annike-Sophie,1,w
Araz,1,m
Annikki,1,w
Arbër,1,m
Annsophie,1,w
Archer,1,m
Antje,1,w
Arda-Hamza,1,m
Antoinette,1,w
Ardahan,1,m
Antonie,1,w
Ardelan,1,m
Antonietta,1,w
Arel,1,m
Antoniette,1,w
Argeş,1,m
Anya,1,w
Argiris,1,m
Anémone,1,w
Arhan,1,m
Apollonia,1,w
Arik,1,m
Appollonia,1,w
Arion,1,m
Aram,1,w
Aris,1,m
Arbana,1,w
Arjen,1,m
Ardiana,1,w
Armaan,1,m
Areej,1,w
Armando-Simon,1,m
Arezou,1,w
Armend,1,m
Ariana,1,w
Arnaud,1,m
Arianna,1,w
Arndt,1,m
Ariella,1,w
Arno,1,m
Arielle,1,w
Arnon,1,m
Arife,1,w
Aro,1,m
Arijeta,1,w
Arslan,1,m
Arisa,1,w
Arsseni,1,m
Arisha,1,w
Art,1,m
Arjin,1,w
Artjom,1,m
Arlette,1,w
Aruand,1,m
Arnesa,1,w
Arved,1,m
Arnika,1,w
Arvin,1,m
Arnisa,1,w
Arwin,1,m
Aroha,1,w
Arya,1,m
Arohi,1,w
Asaf,1,m
Arrielle,1,w
Asamoah,1,m
Arsema,1,w
Asen,1,m
Artjomovna,1,w
Asenov,1,m
Arun,1,w
Ashir,1,m
Arwa,1,w
Ashley,1,m
Arwyn,1,w
Atani-Emanuel,1,m
Arzihane,1,w
Athanasios,1,m
Asel,1,w
Athanassios,1,m
Asen,1,w
Atıf,1,m
Asenova,1,w
Atta,1,m
Ashleen,1,w
Attila,1,m
Asiya,1,w
Augustus,1,m
Aslı,1,w
Aurelio,1,m
Asli,1,w
Aurèle,1,m
Aslıhan,1,w
Aurél,1,m
Asmae,1,w
Awat,1,m
Asmin,1,w
Aydın,1,m
Asnath,1,w
Aykan,1,m
Asrin,1,w
Aykut,1,m
Assal,1,w
Aymen,1,m
Astou,1,w
Aytunc,1,m
Asu,1,w
Aytuğ,1,m
Athina,1,w
Azamat,1,m
Atiye,1,w
Azan,1,m
Audrey,1,w
Azim,1,m
Auguste,1,w
Azizcan,1,m
Augustina,1,w
Azrat,1,m
Auma,1,w
Baako,1,m
Aura,1,w
Badr,1,m
Avantika,1,w
Baha,1,m
Aviva,1,w
Bahattin,1,m
Ay,1,w
Bahoz,1,m
Ayana,1,w
Bakary,1,m
Aygül,1,w
Bakis,1,m
Ayliz,1,w
Balthasar,1,m
Aynur,1,w
Balues,1,m
Ayo,1,w
Bander,1,m
Aysa,1,w
Banjamin,1,m
Aysel,1,w
Baptiste,1,m
Aysen,1,w
Baran-Faik,1,m
Aysha,1,w
Baravan,1,m
Aytena,1,w
Baray,1,m
Ayçahan,1,w
Bardo,1,m
Ayşe-Yanen,1,w
Bariş,1,m
Azade,1,w
Barrios,1,m
Aziegbewmin,1,w
Bars,1,m
Azra-Su,1,w
Bartholomäus,1,m
Babette,1,w
Basil,1,m
Bade,1,w
Basilio,1,m
Badegül,1,w
Basilios,1,m
Bajramśa,1,w
Basri-Ebubekir,1,m
Balbina,1,w
Bastien,1,m
Baltika,1,w
Baturalp,1,m
Bandeh,1,w
Bedi,1,m
Barbro,1,w
Bedirhan,1,m
Barones,1,w
Bedirxan,1,m
Basselya,1,w
Behlül,1,m
Batia,1,w
Bektaş,1,m
Batool,1,w
Bendix,1,m
Başak,1,w
Bene,1,m
Bea,1,w
Benedetto,1,m
Beatrix,1,w
Benne,1,m
Begüm,1,w
Bennit,1,m
Belena,1,w
Ber,1,m
Belinay,1,w
Bera,1,m
Bella-Ciana,1,w
Berdan,1,m
Belle,1,w
Berend,1,m
Benedikt,1,w
Berke,1,m
Bengi,1,w
Bert,1,m
Bengü,1,w
Berti,1,m
Beppa,1,w
Bertrand,1,m
Berbel,1,w
Berzan,1,m
Berenike,1,w
Besian,1,m
Bergüzar,1,w
Bevis,1,m
Berin,1,w
Beyaz,1,m
Berivan,1,w
Beza,1,m
Bernadette,1,w
Biagio,1,m
Bernarda,1,w
Bill,1,m
Berra,1,w
Bin,1,m
Berrak,1,w
Bir,1,m
Berrit,1,w
Birhat,1,m
Bersu,1,w
Birk,1,m
Besjana,1,w
Birkan,1,m
Bethy,1,w
Bisser,1,m
Betina,1,w
Blend,1,m
Bettina,1,w
Blerim,1,m
Beyhan,1,w
Blewussi,1,m
Beyzanur,1,w
Bodo,1,m
Bianca,1,w
Bogdan,1,m
Bianka,1,w
Bogdanovič,1,m
Bilal,1,w
Boie,1,m
Bilge,1,w
Bojan,1,m
Bircan,1,w
Bola,1,m
Birgit,1,w
Bora,1,m
Biricik,1,w
Boris,1,m
Birklind,1,w
Borislav,1,m
Birte,1,w
Borisovič,1,m
Bisera,1,w
Bosse,1,m
Blerta,1,w
Botan,1,m
Blessing,1,w
Boubacar,1,m
Blinora,1,w
Bounthavy,1,m
Blomma,1,w
Boy,1,m
Boatemah,1,w
Bram,1,m
Bonnie,1,w
Brendo,1,m
Boutaina,1,w
Brendon,1,m
Brandey,1,w
Bretling,1,m
Brooke,1,w
Brian,1,m
Buba,1,w
Brighton,1,m
Buky,1,w
Brixus,1,m
Bärbel,1,w
Brooklyn,1,m
Béla,1,w
Bruce,1,m
Cady-Melina,1,w
Brusk,1,m
Cagla,1,w
Buana,1,m
Caithlynn,1,w
Buco,1,m
Caja,1,w
Bugra,1,m
Calissa,1,w
Buğra,1,m
Caliste,1,w
Byron,1,m
Candelaria,1,w
Bálint,1,m
Cansu,1,w
Bünyamin,1,m
Capucine,1,w
Caleb,1,m
Cari,1,w
Calle,1,m
Carmela,1,w
Callum,1,m
Carmelina,1,w
Camil,1,m
Carry,1,w
Camille,1,m
Casey,1,w
Canay,1,m
Cassidy,1,w
Cankut,1,m
Catalea,1,w
Carlson,1,m
Catherina,1,w
Carmen,1,m
Catherine,1,w
Casim,1,m
Cato,1,w
Casino,1,m
Cecilie,1,w
Cassandro,1,m
Cedric,1,w
Cassian,1,m
Celia,1,w
Cayden,1,m
Celin,1,w
Cederik,1,m
Celin-Marie,1,w
Celalettin,1,m
Cemile,1,w
Celestano,1,m
Cemre,1,w
Cengizhan,1,m
Ceylan,1,w
Cenk,1,m
Chahd,1,w
Cevdet,1,m
Chaima,1,w
Ceyx,1,m
Chalea,1,w
Chadi,1,m
Chamisa,1,w
Chakour,1,m
Chanaya,1,w
Charlotte,1,m
Chanel,1,w
Che,1,m
Chanel-Ceca,1,w
Chedy,1,m
Charis,1,w
Chewe,1,m
Charleene,1,w
Chi,1,m
Charlet,1,w
Chidi,1,m
Chayenne-Kimberly,1,w
Chidubem,1,m
Chayma,1,w
Chidureum,1,m
Chelsy,1,w
Chiemezie,1,m
Chenoa,1,w
Chinedu,1,m
Chiamaka,1,w
Chineme,1,m
Chiara-Leona,1,w
Chinmoy,1,m
Chimuanya,1,w
Chlodwig,1,m
Chinara,1,w
Christ,1,m
Chinenye,1,w
Christ-Emanuel,1,m
Chineye,1,w
Christano,1,m
Chioma,1,w
Christer,1,m
Chisom,1,w
Christiano,1,m
Chomoukh,1,w
Christof,1,m
Chrissi,1,w
Christos,1,m
Christaline,1,w
Christus,1,m
Christie,1,w
Chuks,1,m
Christophine,1,w
Chukwubueze,1,m
Circe,1,w
Chukwubuikem,1,m
Cissy,1,w
Chukwuemerie,1,m
Clarice,1,w
Cian,1,m
Clelia,1,w
Ciano,1,m
Clementine,1,w
Cihad,1,m
Concetta,1,w
Cihan,1,m
Coralie,1,w
Claassen,1,m
Cori-Sisa,1,w
Clair,1,m
Corinna,1,w
Claudio,1,m
Cosina,1,w
Claudius,1,m
Cristiana,1,w
Clemes,1,m
Cristothea,1,w
Colyn,1,m
Cyrielle,1,w
Conan,1,m
Cécile,1,w
Coner,1,m
Céleste,1,w
Corel,1,m
Céline,1,w
Corin,1,m
Dado,1,w
Corleone,1,m
Dafina,1,w
Cornelio,1,m
Dagmar,1,w
Cornelis,1,m
Dalina,1,w
Cosimo,1,m
Dallal,1,w
Cristiano,1,m
Danay,1,w
Curtis,1,m
Daniya,1,w
Cyrus,1,m
Danièle,1,w
Dag,1,m
Danuta,1,w
Dalyan,1,m
Danya,1,w
Damiano,1,m
Darina,1,w
Damien-Joel,1,m
Darina-Jolie,1,w
Damir,1,m
Darja,1,w
Dan,1,m
Darya,1,w
Dane,1,m
Dawina,1,w
Danial,1,m
De,1,w
Danyel,1,m
Delfin,1,w
Daren,1,m
Delia,1,w
Dariush,1,m
Delin,1,w
Darren,1,m
Delphine,1,w
Darryn,1,m
Denisa,1,w
Darwin,1,m
Deora,1,w
Daryan,1,m
Desdina,1,w
Dastan,1,m
Deshin,1,w
Datamis,1,m
Desiree,1,w
Davide,1,m
Despina,1,w
Davin,1,m
Destina,1,w
Davis,1,m
Devi,1,w
Davud,1,m
Dewin,1,w
Deandre,1,m
Diaz,1,w
Deha,1,m
Diba,1,w
Dejan,1,m
Dicle,1,w
Delio,1,m
Didem,1,w
Demian,1,m
Dijana,1,w
Denniz,1,m
Dilayla,1,w
Denny,1,m
Dilşah,1,w
Denver,1,m
Dimitra,1,w
Derin,1,m
Dipti,1,w
Derun,1,m
Diren,1,w
Deshawn,1,m
Dishin,1,w
Desmond,1,m
Diva,1,w
Destan,1,m
Diána,1,w
Detlef,1,m
Djana,1,w
Devid,1,m
Doaa,1,w
Devris,1,m
Domenica,1,w
Deyyan,1,m
Donya,1,w
Değer,1,m
Dora,1,w
Dhruv,1,m
Doreen,1,w
Di,1,m
Doriana,1,w
Dian,1,m
Dorina,1,w
Diandro,1,m
Dorkas,1,w
Diano,1,m
Dorothée,1,w
Diar,1,m
Doussou,1,w
Dibran,1,m
Dragica,1,w
Dijan,1,m
Dua,1,w
Dijar,1,m
Dudu,1,w
Dijon,1,m
Duha,1,w
Dilan,1,m
Dylara,1,w
Dilek,1,m
Dzidula,1,w
Dilman,1,m
Désiré,1,w
Dilshos,1,m
Dörte,1,w
Dimcho,1,m
Dünya,1,w
Dinn,1,m
Ecrinnur,1,w
Dino,1,m
Editha,1,w
Diogo,1,m
Edlira,1,w
Diren,1,m
Edlyn,1,w
Dirk,1,m
Edona,1,w
Diyar,1,m
Efe,1,w
Diyor,1,m
Effi,1,w
Djordje,1,m
Efi,1,w
Djumba,1,m
Eflin,1,w
Dmitriević,1,m
Efsa,1,w
Domenic,1,m
Eka,1,w
Domingos,1,m
Ekaterini,1,w
Domoraud,1,m
Ela-Nur,1,w
Don-Luca,1,m
Elaina,1,w
Donart,1,m
Elara,1,w
Donato,1,m
Elasu,1,w
Dorart,1,m
Elayne,1,w
Dorice,1,m
Eldina,1,w
Doğan,1,m
Elenia,1,w
Doğu,1,m
Elfin,1,w
Doğukan,1,m
Elfriede,1,w
Drelle-Freddie,1,m
Elham,1,w
Duhan,1,m
Elia,1,w
Durmuş,1,m
Elicia,1,w
Dursun,1,m
Elisabete,1,w
Dustin,1,m
Elisabetta,1,w
Duy,1,m
Elisha,1,w
Dušan,1,m
Elissa,1,w
Dzeidin,1,m
Eliza,1,w
Dániel,1,m
Elizaveta,1,w
Dźenan,1,m
Eljesa,1,w
Ebele,1,m
Ella-Marie,1,w
Eberhard,1,m
Elle,1,w
Ebuzer,1,m
Ellie,1,w
Echezona,1,m
Elly,1,w
Eddie,1,m
Elodie,1,w
Eddy,1,m
Eloise,1,w
Edmund,1,m
Elona,1,w
Eduan,1,m
Elora,1,w
Eduardo,1,m
Eloïse,1,w
Eemil,1,m
Elsbeth,1,w
Efeaslan,1,m
Else,1,w
Efehan,1,m
Elsona,1,w
Efekan,1,m
Elvisa,1,w
Efrahim,1,m
Elzbeth,1,w
Egehan,1,m
Elá,1,w
Egohan,1,m
Emanuela,1,w
Egon,1,m
Emek,1,w
Egor,1,m
Emeline,1,w
Eigenname:,1,m
Emely-Fernanda,1,w
Eilya,1,m
Emila,1,w
Ekam,1,m
Emili,1,w
Eki,1,m
Emilia-Marie,1,w
Ekke,1,m
Emilian,1,w
Ekkehard,1,m
Emina,1,w
Ekue,1,m
Emma-Marie,1,w
Eleftherios,1,m
Emy,1,w
Elez,1,m
Engeli,1,w
Eli,1,m
Engelina,1,w
Elian-Luca,1,m
Enisa,1,w
Eliot,1,m
Enja,1,w
Elisej,1,m
Enni,1,w
Eliya,1,m
Enya-Louise,1,w
Elko,1,m
Epiphany,1,w
Elmi,1,m
Erin,1,w
Elozino,1,m
Erza,1,w
Elvis,1,m
Esfora,1,w
Elyar,1,m
Esin,1,w
Elyes,1,m
Eske,1,w
Emad,1,m
Eslemeda,1,w
Emanuelle,1,m
Eslemnur,1,w
Emilov,1,m
Esmanur,1,w
Emily,1,m
Esna,1,w
Emilyo,1,m
Estefania,1,w
Emircan,1,m
Estella,1,w
Emmanouil,1,m
Ester,1,w
Emmanuel,1,m
Etinosa,1,w
Emran,1,m
Eugenie,1,w
Enda,1,m
Euharista,1,w
Endrit,1,m
Eulalia,1,w
Enes-Mete,1,m
Eva-Maria,1,w
Eneshan,1,m
Eva-Marie,1,w
Enis,1,m
Eva-Sofia,1,w
Ennio,1,m
Evalotte,1,w
Enrique,1,m
Evangelia,1,w
Enrui,1,m
Evelyne,1,w
Enyo,1,m
Evgenia,1,w
Ephram,1,m
Evgenieva,1,w
Ephraïm,1,m
Evin,1,w
Ercan,1,m
Ewelina,1,w
Erel,1,m
Ewere,1,w
Erem,1,m
Eylem,1,w
Ergin,1,m
Fabiola,1,w
Erhan,1,m
Fadik,1,w
Eric-Julian,1,m
Fadime,1,w
Erin,1,m
Faith,1,w
Erind,1,m
Falak,1,w
Erk,1,m
Fall,1,w
Erkan,1,m
Farah-Naz,1,w
Erkin,1,m
Fariba,1,w
Erkut,1,m
Farida,1,w
Ernando,1,m
Fatma-Tükez,1,w
Ernest,1,m
Fatmagülsüm,1,w
Ersan,1,m
Fatoumata,1,w
Ersay,1,m
Favour,1,w
Esaïe,1,m
Febronia,1,w
Esra,1,m
Feenja,1,w
Etem,1,m
Feli,1,w
Etnik,1,m
Femke,1,w
Eto,1,m
Fenia,1,w
Eugênio,1,m
Fenja,1,w
Evangelos,1,m
Fenna,1,w
Evert,1,m
Feodosia,1,w
Evgeniy,1,m
Ferah,1,w
Evrim,1,m
Ferdaous,1,w
Eyup,1,m
Ferhan,1,w
Eyüp,1,m
Fides,1,w
Ezekiel,1,m
Fikriye,1,w
Ezequiel,1,m
Filiz,1,w
Ezra,1,m
Finnja,1,w
Fahad,1,m
Finya,1,w
Fahd,1,m
Fiona-Marie,1,w
Fahim,1,m
Fiorella,1,w
Fahrettin,1,m
Firdaous,1,w
Fao,1,m
Fleur,1,w
Fares,1,m
Florence,1,w
Farhang,1,m
Florica,1,w
Fariborz,1,m
Florie,1,w
Farin,1,m
Florina,1,w
Fariz,1,m
Flurina,1,w
Fatih-Selim,1,m
Fortuna,1,w
Faysal,1,m
Fotini,1,w
Felan,1,m
Foutoun,1,w
Felix-Phineas,1,m
Franca,1,w
Ferhat,1,m
Francisca,1,w
Fidelius,1,m
Françoise,1,w
Finian,1,m
Fredericke,1,w
Finley,1,m
Frederika,1,w
Finn-Luka,1,m
Freia,1,w
Finnley,1,m
Freyja,1,w
Flemming,1,m
Friedarike,1,w
Flip,1,m
Friede,1,w
Florentin,1,m
Fritzi,1,w
Florenz,1,m
Gaia,1,w
Florestan,1,m
Galia,1,w
Florin,1,m
Gamze,1,w
Flynn,1,m
Ganglhametok,1,w
Folke,1,m
Ganna,1,w
Foly,1,m
Gawshi,1,w
Francis,1,m
Gazel,1,w
Frank-Eugen,1,m
Gebkea,1,w
Franziskus,1,m
Gemma,1,w
Fraser,1,m
Genaro,1,w
Fred,1,m
Gentijana,1,w
Freeman,1,m
Georgine,1,w
Fridolin,1,m
Gerda,1,w
Friedrich-Wilhelm,1,m
Gerti,1,w
Frowin,1,m
Gertrud,1,w
Fryderyk,1,m
Gesa,1,w
Fynn-Luca,1,m
Ghadah,1,w
Fábio,1,m
Ghanblackstaring,1,w
Gabriell-Elias,1,m
Gianna,1,w
Gabrijel,1,m
Gina,1,w
Gael,1,m
Gina-Marie,1,w
Gaetano-Semino,1,m
Giorgia,1,w
Gagandeep,1,m
Gisele,1,w
Gani,1,m
Gisèle,1,w
Gaoussou,1,m
Gity,1,w
Gavin,1,m
Giulien,1,w
Gennaro,1,m
Giulietta,1,w
George,1,m
Giulina,1,w
Georges,1,m
Gizem,1,w
Georgiev,1,m
gizi,1,w
Geraldinio,1,m
Gnalen,1,w
Gerard,1,m
Graciela,1,w
Gerd,1,m
Greetje,1,w
Gergor,1,m
Greta-Marie,1,w
Gero,1,m
Grete,1,w
Gerrit,1,m
Gözde,1,w
Gevondovič,1,m
Gözdenur,1,w
Gia,1,m
Güher,1,w
Gianni,1,m
Gülce,1,w
Giannini,1,m
Güldane,1,w
Giannino,1,m
Güllü,1,w
Gideon,1,m
Günes,1,w
Gigi,1,m
Gürcü-Leyla,1,w
Gino,1,m
Hai,1,w
Gioele,1,m
Hailey,1,w
Giordyn,1,m
Haily,1,w
Giorgos,1,m
Hajar,1,w
Giovani,1,m
Hale,1,w
Gitano,1,m
Hamida,1,w
Glenn,1,m
Han-Qing,1,w
Gold,1,m
Hanaan,1,w
Goven,1,m
Hanako,1,w
Grace,1,m
Hanen,1,w
Gracjan,1,m
Hania,1,w
Gradi,1,m
Hanifa,1,w
Grzegorz,1,m
Hanin,1,w
Guan,1,m
Hannah-Sophie,1,w
Guillermo,1,m
Hannelore,1,w
Gunnar,1,m
Harriet,1,w
Gustavo,1,m
Harshita,1,w
Gustaw,1,m
Haseeb,1,w
Guten,1,m
Hasibe,1,w
Gérard,1,m
Hasma,1,w
Gökmen,1,m
Hasret,1,w
Göktuğ,1,m
Hasti,1,w
Götz,1,m
Hatun,1,w
Haadi,1,m
Hava,1,w
Hacı,1,m
Havva,1,w
Hacı-Ömer,1,m
Havva-Sena,1,w
Hadrian,1,m
Haydar,1,w
Hagen,1,m
Hedda,1,w
Hajun,1,m
Hedi,1,w
Haktan,1,m
Heide,1,w
Halid,1,m
Heike,1,w
Halil,1,m
Helan,1,w
Halil-Kaan,1,m
Helena-Sam,1,w
Halilcan,1,m
Helke,1,w
Hamadi,1,m
Hella,1,w
Hameen,1,m
Heloise,1,w
Hamoodi,1,m
Hendrika,1,w
Hamza-Said,1,m
Henna,1,w
Handrin,1,m
Henny,1,w
Hanjo,1,m
Hewian,1,w
Hano,1,m
Heylee,1,w
Hans-Ayden,1,m
Hiam,1,w
Hanzalah,1,m
Hibatallah,1,w
Hao,1,m
Hikari,1,w
Happiness,1,m
Hila,1,w
Hara,1,m
Hildegard,1,w
Haris,1,m
Hilla,1,w
Harivan,1,m
Hira,1,w
Harjotpreet,1,m
Hivda,1,w
Harm,1,m
Hoda,1,w
Harro,1,m
Honey,1,w
Hartmut,1,m
Honorine,1,w
Hassouna,1,m
Hortense,1,w
Hauar,1,m
Husna,1,w
Hauke,1,m
Hye-In,1,w
Haval,1,m
Hüsna,1,w
Havand,1,m
Ibaigarie,1,w
Haydar,1,m
Ibtisam,1,w
Helge,1,m
İclâl,1,w
Helmy,1,m
Ida-Clara,1,w
Heman,1,m
Idalina,1,w
Hennes,1,m
Ifneko,1,w
Henrique,1,m
Iga,1,w
Henryk,1,m
Ignacia,1,w
Hervin,1,m
Ijeoma,1,w
Hieronymus,1,m
İkra,1,w
Hilal,1,m
İlaya,1,w
Hiro,1,m
Ilbrat,1,w
Hizdar,1,m
Ileyna,1,w
Hollis,1,m
Iliana,1,w
Holm,1,m
Illa,1,w
Holonou,1,m
Ilona,1,w
Hope,1,m
Ilse,1,w
Hossam,1,m
Ima,1,w
Hoāng,1,m
Imane,1,w
Hudson,1,m
Imelda,1,w
Hännes,1,m
Imen,1,w
Ibaigarie,1,m
Imogen,1,w
Ibragim,1,m
Imran,1,w
İbrahimhalih,1,m
Indira,1,w
Ignaz,1,m
Inga,1,w
Ihorovyč,1,m
Innokent'evna,1,w
Ihsan,1,m
Insa,1,w
Iker,1,m
Integra,1,w
Ilesanmi,1,m
Inés,1,w
Ilhan,1,m
Ioana,1,w
Ilian,1,m
Ipek,1,w
İlkay,1,m
İrem,1,w
Ilkcan,1,m
Iremsu,1,w
Ilker,1,m
Irene,1,w
Ilya,1,m
Irmak,1,w
Ilyes,1,m
Irmi,1,w
Imiefoh,1,m
Isa,1,w
Imrah,1,m
Isabel-Fabiana,1,w
Inesh,1,m
Isadora,1,w
Ingemar,1,m
Ishimwe,1,w
Ingmar,1,m
Isis,1,w
Ingo,1,m
Isolde,1,w
Innokenti,1,m
Israa,1,w
Inti,1,m
Ivelina,1,w
